customer_id,full_name,email,phone,city,loyalty_tier,signup_date
CUST000001,Manav Dutta,manav.dutta2482@hotmail.com,9105632330,pune,Gold,08-10-2022
CUST000002,Imran Reddy,imran.reddy2343@yahoo.co.in,9349297971,JAI,Bronze,2022-09-24
CUST000003,Diya Malhotra,diya.malhotra1112@hotmail.com,0000000000,Calcutta,Silver,09-01-2026
CUST000004,Divya Khanna,divya.khanna7793@rediffmail.com,9736193872,Poona,Silver,08/23/2025
CUST000005,Sneha Bhat,sneha.bhat5875@hotmail.com,9352960252,Ahmedabad,Gold,2025-03-07
CUST000006,Farhan Nair,farhan.nair1306@gmail.com,9344121109,Bengaluru,Gold,2021-12-28
CUST000007,Yash Banerjee,yash.banerjee6353@yahoo.co.in,9946131397,chennai,Bronze,2025-01-27
CUST000008,Aarav Thakur,aarav.thakur4886@outlook.com,9360078474,jaipur,Bronze,16-05-2021
CUST000009,Rahul Shetty,@nodomain.com,9324077590,DEL,Silver,2025-01-27
CUST000010,Pooja Naidu,pooja.naidu4045@hotmail.com,9103610210,Poona,Gold,15-03-2023
CUST000011,Yash Sinha,yash.sinha9353@gmail.com,9631541955,hyderabad,Silver,05-03-2026
CUST000012,Pooja Khanna,pooja.khanna1044@yahoo.co.in,9574861204,Bombay,Bronze,2025-01-14
CUST000013,Saanvi Bhat,saanvi.bhat2156@gmail.com,9626763764,Mumbai ,Gold,17-02-2024
CUST000014,Trisha Verma,trisha.verma343@gmail.com,9493050861,BLR,Platinum,2024-11-02
CUST000015,Saanvi Banerjee,saanvi.banerjee9423@outlook.com,12345,Jaipur,Bronze,15-02-2026
CUST000016,Kiara Malhotra,kiara.malhotra2444@gmail.com,9597651277,NEW DELHI,Silver,2021-01-26
CUST000017,Saanvi Malhotra,saanvi.malhotra578@outlook.com,9786546151,Hyderabad,Silver,2025-12-02
CUST000018,Yash Shetty,yash.shetty9012@yahoo.co.in,9264830115,chennai,Bronze,10-10-2022
CUST000019,Arjun Shetty,arjun.shetty9586@yahoo.co.in,9669823057,ahmedabad,Bronze,04/05/2022
CUST000020,Siddharth Malhotra,double@@mail.com,9102905386,Calcutta,Gold,2022-12-16
CUST000021,Sanjay Nair,sanjay.nair6407@rediffmail.com,9595809124,JAI,Silver,2022-07-18
CUST000022,Vikram Iyer,vikram.iyer2619@yahoo.co.in,9669003120,Ahmedabad,Gold,2023-10-13
CUST000023,Arjun Chopra,arjun.chopra2814@yahoo.co.in,9824625671,Hyderabad,Platinum,2023-01-09
CUST000024,Rhea Kapoor,rhea.kapoor3997@yahoo.co.in,9426404721,Mumbai,Bronze,2023-11-30
CUST000025,Harini Gupta,harini.gupta5625@rediffmail.com,9117811451,Mumbai,Silver,2021-12-27
CUST000026,Gaurav Ghosh,gaurav.ghosh4598@yahoo.co.in,9237272820,mumbai,Gold,02/26/2023
CUST000027,Ananya Ghosh,ananya.ghosh8322@rediffmail.com,9487379753,ahmedabad,Gold,2024-02-11
CUST000028,Pooja Sinha,pooja.sinha4883@hotmail.com,9372018874,bangalore,Silver,2022-10-07
CUST000029,Siddharth Chatterjee,siddharth.chatterjee6960@yahoo.co.in,9353757927,PNQ,Bronze,2022-11-22
CUST000030,Manav Bhat,manav.bhat3451@outlook.com,9388487996,PNQ,Gold,04-08-2025
CUST000031,Sanjay Sharma,sanjay.sharma3697@outlook.com,9270652906,Calcutta,Platinum,07-06-2022
CUST000032,Nitin Rao,nitin.rao8092@gmail.com,9833694879,Bangalore,Gold,2022-09-07
CUST000033,Pooja Dutta,pooja.dutta5911@yahoo.co.in,9991649215,HYD,Silver,2024-02-03
CUST000034,Meera Khanna,meera.khanna4699@yahoo.co.in,9488484614,ahmedabad,Silver,2025-04-16
CUST000035,Priya Chopra,priya.chopra705@yahoo.co.in,9237645437,BLR,Silver,23-08-2021
CUST000036,Aditya Rao,aditya.rao9207@outlook.com,9837386181,Ahmadabad,Silver,19-09-2022
CUST000037,Aisha Sharma,aisha.sharma5773@rediffmail.com,9593785284,Ahmedabad,Bronze,2023-07-23
CUST000038,Meera Reddy,meera.reddy5868@rediffmail.com,9113463409,Poona,Silver,06/29/2024
CUST000039,Aditya Iyer,aditya.iyer3676@outlook.com,9829255544,jaipur,Silver,2022-12-17
CUST000040,Gaurav Joshi,gaurav.joshi7202@yahoo.co.in,9264881046,Banglore,Bronze,2025-08-19
CUST000041,Arjun Thakur,arjun.thakur4298@yahoo.co.in,9608898421,Ahmadabad,Bronze,31-05-2024
CUST000042,Rahul Desai,rahul.desai2448@yahoo.co.in,9727676542,Banglore,Gold,2021-11-25
CUST000043,Harini Gupta,harini.gupta6382@rediffmail.com,NA,Calcutta,Silver,2021-03-02
CUST000044,Diya Naidu,diya.naidu6160@outlook.com,9313964302,Poona,Bronze,2023-05-11
CUST000045,Sanjay Chatterjee,sanjay.chatterjee1516@yahoo.co.in,9689521687,NEW DELHI,Silver,2022-07-18
CUST000046,Rohan Saxena,rohan.saxena5558@hotmail.com,9447626557,hyderabad,Bronze,04/28/2024
CUST000047,Arjun Ghosh,arjun.ghosh9116@gmail.com,9524898535,delhi,Silver,2023-12-23
CUST000048,Varun Naidu,varun.naidu4031@hotmail.com,9540552349,DEL,Silver,18-11-2022
CUST000049,Nikhil Malhotra,nikhil.malhotra5258@outlook.com,9305623031,Delhi,Platinum,07-01-2022
CUST000050,Saanvi Bhat,saanvi.bhat1862@yahoo.co.in,9913523262,Poona,Bronze,12/16/2022
CUST000051,Diya Naidu,diya.naidu7171@yahoo.co.in,9407097742,pune,Bronze,08/29/2021
CUST000052,Kiara Kapoor,kiara.kapoor2074@gmail.com,,Chennai,Silver,11-11-2021
CUST000053,Rhea Mehta,rhea.mehta6236@outlook.com,9477128827,Calcutta,Bronze,2023-06-27
CUST000054,Aditya Patel,aditya.patel8561@rediffmail.com,9532770775,Ahmadabad,Gold,12/09/2025
CUST000055,Priya Menon,priya.menon4665@yahoo.co.in,9264766706,HYD,Gold,09/30/2023
CUST000056,Trisha Reddy,trisha.reddy2911@outlook.com,9214349527,BLR,Bronze,2021-12-11
CUST000057,Nikhil Naidu,nikhil.naidu8568@gmail.com,9444778042,MAA,Silver,2023-06-18
CUST000058,Ritika Saxena,ritika.saxena1661@yahoo.co.in,9355045228,Kolkata,Gold,2022-03-18
CUST000059,Ananya Thakur,ananya.thakur3273@outlook.com,9955107107,pune,Platinum,01-07-2025
CUST000060,Rhea Joshi,rhea.joshi477@hotmail.com,9977931451,New Delhi,Silver,2025-08-12
CUST000061,Manav Saxena,manav.saxena4352@gmail.com,9867005902,delhi,Gold,26-06-2023
CUST000062,Aarav Banerjee,aarav.banerjee741@rediffmail.com,9542494279,JAI,Bronze,2023-04-19
CUST000063,Yash Chatterjee,yash.chatterjee3462@rediffmail.com,9899964598,JAI,Bronze,05/21/2025
CUST000064,Imran Verma,imran.verma6404@gmail.com,9505423989,Bombay,Bronze,24-08-2021
CUST000065,Anjali Reddy,anjali.reddy6614@rediffmail.com,9645279597,delhi,Silver,2024-01-11
CUST000066,Ritika Desai,ritika.desai8873@hotmail.com,9223507896,Bombay,Silver,2024-12-04
CUST000067,Kabir Patel,kabir.patel8762@rediffmail.com,9277045699,jaipur,Platinum,02/19/2025
CUST000068,Karthik Shetty,karthik.shetty7766@gmail.com,9911330333,NEW DELHI,Silver,11-11-2021
CUST000069,Rahul Mehta,rahul.mehta3463@rediffmail.com,9381596890,bangalore,Bronze,2025-03-27
CUST000070,Zoya Naidu,zoya.naidu323@rediffmail.com,9102523816,Bombay,Gold,08-04-2024
CUST000071,Varun Saxena,varun.saxena4285@yahoo.co.in,9934376511,Poona,Bronze,23-06-2022
CUST000072,Kiara Iyer,kiara.iyer4261@gmail.com,9608220431,delhi,Silver,2025-01-16
CUST000073,Imran Iyer,imran.iyer868@gmail.com,9666555418,ahmedabad,Platinum,2022-09-05
CUST000074,Devansh Kulkarni,devansh.kulkarni123@rediffmail.com,9608386812,AMD,Silver,14-09-2021
CUST000075,Varun Rao,varun.rao4612@gmail.com,9597666772,bangalore,Bronze,2022-05-11
CUST000076,Nitin Kapoor,nitin.kapoor9054@rediffmail.com,,Ahmedabad,Bronze,07/26/2023
CUST000077,Ishaan Banerjee,ishaan.banerjee5445@gmail.com,9181085913,Pune,Bronze,2023-04-12
CUST000078,Varun Joshi,varun.joshi3095@hotmail.com,9595216210,MUM,Gold,2026-06-01
CUST000079,Harini Shetty,harini.shetty3569@yahoo.co.in,9279651100,Bombay,Bronze,06-08-2023
CUST000080,Rahul Menon,rahul.menon9604@gmail.com,9755364798,mumbai,Gold,2024-07-02
CUST000081,Priya Bhat,priya.bhat9954@hotmail.com,9282764927,mumbai,Silver,2025-02-28
CUST000082,Vikram Chatterjee,vikram.chatterjee9585@hotmail.com,9177636723,NEW DELHI,Bronze,20-05-2022
CUST000083,Vivaan Verma,vivaan.verma9498@hotmail.com,9206479548,Bombay,Silver,17-11-2021
CUST000084,Aarav Patel,trailing@,9438277542,kolkata,Bronze,2022-10-28
CUST000085,Sanjay Desai,sanjay.desai3728@outlook.com,9691745019,hyderabad,Silver,12/07/2021
CUST000086,Priya Dutta,priya.dutta2035@yahoo.co.in,9441527963,MAA,Bronze,2026-02-20
CUST000087,Priya Shetty,priya.shetty9038@outlook.com,9848608539,DEL,Silver,05/03/2021
CUST000088,Rohan Chatterjee,rohan.chatterjee5260@gmail.com,9713051599,Poona,Silver,09-06-2024
CUST000089,Yash Kulkarni,yash.kulkarni7149@hotmail.com,9837372769,jaipur,Silver,2024-08-27
CUST000090,Tara Saxena,tara.saxena4463@outlook.com,9904066859,ahmedabad,Bronze,14-06-2026
CUST000091,Imran Pillai,imran.pillai379@yahoo.co.in,9539103343,JAI,Platinum,2026-05-08
CUST000092,Varun Bose,varun.bose7335@outlook.com,9664109125,Chennai,Bronze,2024-11-21
CUST000093,Devansh Iyer,devansh.iyer7423@yahoo.co.in,9988288871,New Delhi,Silver,2023-01-20
CUST000094,Siddharth Nair,siddharth.nair8642@outlook.com,9861710399,Banglore,Bronze,15-09-2024
CUST000095,Yash Chatterjee,yash.chatterjee8859@rediffmail.com,9744444034,AMD,Silver,19-08-2023
CUST000096,Rohan Pillai,rohan.pillai1767@hotmail.com,9297957434,DEL,Bronze,08-04-2022
CUST000097,Kabir Desai,kabir.desai9195@outlook.com,9964688781,AMD,Silver,2021-12-24
CUST000098,Lakshmi Sinha,lakshmi.sinha9010@hotmail.com,9540198654,CCU,Silver,2022-03-27
CUST000099,Anjali Nair,anjali.nair6071@hotmail.com,9893257817,Hyderabad,Gold,2021-01-22
CUST000100,Farhan Naidu,farhan.naidu550@gmail.com,9674764437,JAI,Silver,05/19/2024
CUST000101,Arjun Sinha,arjun.sinha9589@hotmail.com,9341034512,DEL,Bronze,2024-08-17
CUST000102,Aditya Patel,aditya.patel7132@yahoo.co.in,9285617521,jaipur,Gold,2022-04-05
CUST000103,Nikhil Malhotra,nikhil.malhotra1186@outlook.com,9672444699,CCU,Bronze,2023-03-29
CUST000104,Varun Chopra,varun.chopra7813@hotmail.com,9526855576,MAA,Silver,2022-04-13
CUST000105,Zoya Chatterjee,@nodomain.com,9394747335,DEL,Bronze,2024-12-25
CUST000106,Aisha Verma,aisha.verma8840@rediffmail.com,9760457853,HYD,Silver,2024-02-08
CUST000107,Varun Mehta,varun.mehta1540@hotmail.com,9762781203,BENGALURU,Silver,2023-04-01
CUST000108,Ishaan Sinha,ishaan.sinha5133@outlook.com,9322468873,Calcutta,Bronze,22-05-2024
CUST000109,Rohan Reddy,rohan.reddy8793@rediffmail.com,9323885553,DEL,Bronze,06-11-2024
CUST000110,Farhan Roy,farhan.roy6405@yahoo.co.in,9917249716,MAA,Gold,09/11/2025
CUST000111,Varun Joshi,varun.joshi3947@rediffmail.com,9102977959,Kolkata,Silver,2025-10-24
CUST000112,Arjun Bhat,arjun.bhat2573@outlook.com,9879190270,Ahmedabad,Bronze,01/26/2024
CUST000113,Karthik Patel,karthik.patel7294@yahoo.co.in,9664089986,New Delhi,Silver,26-04-2022
CUST000114,Vikram Verma,vikram.verma3930@yahoo.co.in,9820058872,CCU,Silver,2026-04-20
CUST000115,Aditya Mehta,aditya.mehta6615@rediffmail.com,9884247557,New Delhi,Silver,29-06-2022
CUST000116,Farhan Iyer,farhan.iyer4009@rediffmail.com,9459225549,BENGALURU,Silver,2021-10-04
CUST000117,Sneha Chopra,sneha.chopra4827@rediffmail.com,9946970719,Mumbai ,Bronze,11/29/2023
CUST000118,Rahul Banerjee,rahul.banerjee1036@yahoo.co.in,9801774359,bangalore,Platinum,20-08-2021
CUST000119,Sneha Saxena,sneha.saxena8677@hotmail.com,9796958213,NEW DELHI,Silver,07/18/2023
CUST000120,Ritika Malhotra,ritika.malhotra7742@gmail.com,9288658533,JAI,Gold,2023-08-27
CUST000121,Harini Kapoor,harini.kapoor9721@gmail.com,9547609832,Calcutta,Platinum,2025-09-12
CUST000122,Harini Dutta,harini.dutta5479@gmail.com,9479327273,pune,Bronze,19-03-2026
CUST000123,Priya Kulkarni,priya.kulkarni7372@gmail.com,9515703349,Calcutta,Bronze,2021-04-28
CUST000124,Ishaan Joshi,ishaan.joshi1019@gmail.com,9784942388,PNQ,Bronze,21-04-2024
CUST000125,Ananya Dutta,ananya.dutta3455@gmail.com,9288755770,AMD,Silver,2024-08-30
CUST000126,Nitin Bose,nitin.bose1988@gmail.com,,pune,Silver,2022-02-03
CUST000127,Zoya Kapoor,zoya.kapoor2405@hotmail.com,9456814528,Madras,Bronze,2021-04-30
CUST000128,Karthik Menon,karthik.menon1710@rediffmail.com,9269714740,bangalore,Bronze,24-07-2023
CUST000129,Nikhil Chopra,nikhil.chopra3914@gmail.com,9489952513,chennai,Gold,2021-05-18
CUST000130,Arjun Gupta,arjun.gupta2897@rediffmail.com,9316263125,Hyderabad,Gold,09/19/2025
CUST000131,Farhan Chatterjee,farhan.chatterjee4866@hotmail.com,9156810236,MAA,Bronze,21-04-2026
CUST000132,Arjun Shetty,arjun.shetty8774@outlook.com,,JAI,Silver,2024-03-21
CUST000133,Divya Bose,divya.bose1278@yahoo.co.in,9512454538,DEL,Bronze,2023-02-25
CUST000134,Kiara Menon,kiara.menon2303@yahoo.co.in,9869422954,AMD,Bronze,04/04/2025
CUST000135,Rhea Sinha,no-at-sign.com,9235075344,jaipur,Gold,2022-12-16
CUST000136,Divya Sharma,divya.sharma1585@hotmail.com,9628801480,Madras,Bronze,2026-01-01
CUST000137,Harini Pillai,harini.pillai3190@gmail.com,9529975625,Bangalore,Gold,2025-11-29
CUST000138,Kiara Bose,kiara.bose3116@yahoo.co.in,9749799923,Bombay,Gold,2023-08-27
CUST000139,Kabir Rao,kabir.rao9713@rediffmail.com,9289196934,Calcutta,Bronze,2021-06-22
CUST000140,Priya Nair,priya.nair3803@hotmail.com,9981983453,ahmedabad,Bronze,2026-03-31
CUST000141,Rohan Khanna,rohan.khanna9299@gmail.com,9850702216,Chennai,Bronze,2021-08-02
CUST000142,Farhan Iyer,farhan.iyer2745@outlook.com,9683870550,Banglore,Bronze,2022-09-23
CUST000143,Tara Saxena,tara.saxena1352@outlook.com,9523403226,jaipur,Silver,05-11-2025
CUST000144,Nikhil Bose,nikhil.bose5875@rediffmail.com,9405693048,AMD,Bronze,2021-08-20
CUST000145,Farhan Chatterjee,farhan.chatterjee8045@outlook.com,9502333476,BENGALURU,Bronze,2022-06-17
CUST000146,Divya Nair,divya.nair6058@gmail.com,9818902301,kolkata,Gold,09/17/2024
CUST000147,Farhan Verma,farhan.verma2977@hotmail.com,9514659041,kolkata,Gold,2025-01-24
CUST000148,Vikram Patel,vikram.patel8175@hotmail.com,9950804574,mumbai,Silver,2023-05-22
CUST000149,Anjali Nair,anjali.nair8449@hotmail.com,9760863216,hyderabad,Bronze,22-03-2025
CUST000150,Saanvi Banerjee,saanvi.banerjee4705@outlook.com,9969479947,Jaipur,Bronze,2022-09-01
CUST000151,Ananya Menon,ananya.menon9181@outlook.com,9765228011,BLR,Bronze,2026-06-03
